,children,childrentxt,cover_id,fantasy,fantasytxt,medicine,medicinetxt,music,musictxt,mystery and detective stories,mystery and detective storiestxt,religion,religiontxt,romance,romancetxt,science,science fiction,science fictiontxt,sciencetxt,title,words,title_len,file
0,1.0,children,575546.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,alice s adventures in wonderland,"['alice', 'adventure', 'wonderland']",3,575546.jpg
1,1.0,children,1981419.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the personal history of david copperfield,"['personal', 'history', 'david', 'copperfield']",4,1981419.jpg
2,1.0,children,1321813.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,wizard of oz,"['wizard', 'oz']",2,1321813.jpg
3,1.0,children,2964863.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the turn of the screw,"['turn', 'screw']",2,2964863.jpg
4,1.0,children,311182.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,a child s garden of verses,"['child', 'garden', 'verse']",3,311182.jpg
5,1.0,children,103374.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,jude the obscure,"['jude', 'obscure']",2,103374.jpg
6,1.0,children,5847693.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,story of little black sambo,"['story', 'little', 'black', 'sambo']",4,5847693.jpg
7,1.0,children,101923.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,what katy did,['katy'],1,101923.jpg
8,1.0,children,6979869.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,science fiction,0,the illustrated man,"['illustrated', 'man']",2,6979869.jpg
9,1.0,children,428927.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,angela s ashes,"['angela', 'ash']",2,428927.jpg
10,1.0,children,13671.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the chronicles of narnia,"['chronicle', 'narnia']",2,13671.jpg
13,1.0,children,384916.0,1.0,fantasy,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,northern lights,"['northern', 'light']",2,384916.jpg
